date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:53	499419/499419	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Oct%202019%2017:38:52%20GMT	https://officialpouvoirsto.wixsite.com/home	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/officialpouvoirsto.wixsite.com/home.html	(from )
19:38:54	445/445	---M--	200	added ('OK')	text/plain	date:Wed,%2009%20Oct%202019%2017:38:53%20GMT	https://officialpouvoirsto.wixsite.com/robots.txt		(from )
19:38:54	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Oct%202019%2017:38:53%20GMT	https://officialpouvoirsto.wixsite.com/sitemap.xml	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/officialpouvoirsto.wixsite.com/sitemap.xml	(from https://officialpouvoirsto.wixsite.com/home)
19:38:54	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Oct%202019%2017:38:53%20GMT	https://officialpouvoirsto.wixsite.com/feed.xml	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/officialpouvoirsto.wixsite.com/feed.xml	(from https://officialpouvoirsto.wixsite.com/home)
19:38:54	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://officialpouvoirsto.wixsite.com/home)
19:38:55	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://officialpouvoirsto.wixsite.com/home)
19:38:55	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://officialpouvoirsto.wixsite.com/home)
19:38:55	92722/92722	---M-Z	200	added ('OK')	application/javascript	etag:W/%220b4ffaffdf7e539bc7173575ef1ead1c%22	https://static.parastorage.com/services/wix-bolt/1.3906.0/bolt-main/app/bolt-custom-elements.min.js	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/static.parastorage.com/services/wix-bolt/1.3906.0/bolt-main/app/bolt-custom-elements.min.js	(from https://officialpouvoirsto.wixsite.com/home)
19:38:56	17493/17493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://officialpouvoirsto.wixsite.com/home)
19:38:56	624710/624710	---M-Z	200	added ('OK')	application/javascript	etag:W/%224e7ffd7e9e9ee5798caa62724b2e9d74%22	https://officialpouvoirsto.wixsite.com/_partials/wix-bolt/1.3906.0/node_modules/viewer-platform-worker/dist/bolt-worker.js	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/officialpouvoirsto.wixsite.com/_partials/wix-bolt/1.3906.0/node_modules/viewer-platform-worker/dist/bolt-worker.js	(from https://officialpouvoirsto.wixsite.com/home)
19:38:56	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://officialpouvoirsto.wixsite.com/home)
19:38:56	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/Users/Luca%20Leon%20Fydrich/Desktop/Ordner/clone/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://officialpouvoirsto.wixsite.com/home)
